start,end,negdec_1,negdec_total,negq_1,negq_total,afftr_1,afftr_total,affintr_1,affintr_total,affq_1,affq_total
1400,1425,0,177,0.117,17,0,3,0,7,0,1
1425,1475,0.012,903,0.08,25,0.107,56,0,86,0,27
1475,1500,0.048,693,0.111,27,0.135,74,0,68,0.02,51
1500,1525,0.078,605,0.59,78,0.242,91,0.211,90,0.113,62
1525,1535,0.137,651,0.607,56,0.692,26,0.197,76,0.095,63
1535,1550,0.279,735,0.75,84,0.615,91,0.319,116,0.11,73
1550,1575,0.38,313,0.854,48,0.737,57,0.423,71,0.36,75
1575,1600,0.238,629,0.648,128,0.792,173,0.444,205,0.383,120
1600,1625,0.367,278,0.937,95,0.773,277,0.619,310,0.298,171
1625,1650,0.317,344,0.842,38,0.909,66,0.757,74,0.53,66
1650,1700,0.46,274,0.923,52,0.947,76,0.702,131,0.549,51
